Word1,Word2,GloVe Cosine Similarity
schizophrenia,schizophrenia,1.0
schizophrenia,cancer,0.48863268
schizophrenia,myocardial,0.14166859
schizophrenia,heart,0.23832063
schizophrenia,pneumonia,0.15649436
schizophrenia,alzheimer,0.18674137
schizophrenia,diabetes,0.421354
schizophrenia,hypertension,0.39894027
schizophrenia,asthma,0.50930405
schizophrenia,sepsis,0.27246502
schizophrenia,stroke,0.24779503
schizophrenia,anemia,0.3073589
cancer,schizophrenia,0.48863268
cancer,cancer,0.99999994
cancer,myocardial,0.31000635
cancer,heart,0.33915395
cancer,pneumonia,0.2615533
cancer,alzheimer,0.22982708
cancer,diabetes,0.5440606
cancer,hypertension,0.41556478
cancer,asthma,0.4058678
cancer,sepsis,0.17510018
cancer,stroke,0.45706123
cancer,anemia,0.39315355
myocardial,schizophrenia,0.14166859
myocardial,cancer,0.31000635
myocardial,myocardial,1.0
myocardial,heart,0.45398086
myocardial,pneumonia,0.09937728
myocardial,alzheimer,0.21995814
myocardial,diabetes,0.21163754
myocardial,hypertension,0.22301339
myocardial,asthma,0.09604839
myocardial,sepsis,0.062945195
myocardial,stroke,0.36850291
myocardial,anemia,0.15120724
heart,schizophrenia,0.23832063
heart,cancer,0.33915395
heart,myocardial,0.45398086
heart,heart,1.0
heart,pneumonia,0.3836561
heart,alzheimer,0.13208984
heart,diabetes,0.63028437
heart,hypertension,0.54510075
heart,asthma,0.3125996
heart,sepsis,0.21698065
heart,stroke,0.3837995
heart,anemia,0.3243619
pneumonia,schizophrenia,0.15649436
pneumonia,cancer,0.2615533
pneumonia,myocardial,0.09937728
pneumonia,heart,0.3836561
pneumonia,pneumonia,1.0
pneumonia,alzheimer,-0.029621711
pneumonia,diabetes,0.35810164
pneumonia,hypertension,0.4475299
pneumonia,asthma,0.2593175
pneumonia,sepsis,0.51159376
pneumonia,stroke,0.31555852
pneumonia,anemia,0.41055664
alzheimer,schizophrenia,0.18674137
alzheimer,cancer,0.22982708
alzheimer,myocardial,0.21995814
alzheimer,heart,0.13208984
alzheimer,pneumonia,-0.029621711
alzheimer,alzheimer,1.0000002
alzheimer,diabetes,0.2865027
alzheimer,hypertension,0.34072468
alzheimer,asthma,0.39892143
alzheimer,sepsis,0.07188586
alzheimer,stroke,0.15205474
alzheimer,anemia,0.18569393
diabetes,schizophrenia,0.421354
diabetes,cancer,0.5440606
diabetes,myocardial,0.21163754
diabetes,heart,0.63028437
diabetes,pneumonia,0.35810164
diabetes,alzheimer,0.2865027
diabetes,diabetes,1.0
diabetes,hypertension,0.7888216
diabetes,asthma,0.61673534
diabetes,sepsis,0.28226438
diabetes,stroke,0.54988253
diabetes,anemia,0.50578135
hypertension,schizophrenia,0.39894027
hypertension,cancer,0.41556478
hypertension,myocardial,0.22301339
hypertension,heart,0.54510075
hypertension,pneumonia,0.4475299
hypertension,alzheimer,0.34072468
hypertension,diabetes,0.7888216
hypertension,hypertension,1.0000001
hypertension,asthma,0.65301925
hypertension,sepsis,0.31142896
hypertension,stroke,0.4254703
hypertension,anemia,0.5416314
asthma,schizophrenia,0.50930405
asthma,cancer,0.4058678
asthma,myocardial,0.09604839
asthma,heart,0.3125996
asthma,pneumonia,0.2593175
asthma,alzheimer,0.39892143
asthma,diabetes,0.61673534
asthma,hypertension,0.65301925
asthma,asthma,1.0
asthma,sepsis,0.40545052
asthma,stroke,0.3972404
asthma,anemia,0.46821532
sepsis,schizophrenia,0.27246502
sepsis,cancer,0.17510018
sepsis,myocardial,0.062945195
sepsis,heart,0.21698065
sepsis,pneumonia,0.51159376
sepsis,alzheimer,0.07188586
sepsis,diabetes,0.28226438
sepsis,hypertension,0.31142896
sepsis,asthma,0.40545052
sepsis,sepsis,1.0
sepsis,stroke,0.281409
sepsis,anemia,0.41294008
stroke,schizophrenia,0.24779503
stroke,cancer,0.45706123
stroke,myocardial,0.36850291
stroke,heart,0.3837995
stroke,pneumonia,0.31555852
stroke,alzheimer,0.15205474
stroke,diabetes,0.54988253
stroke,hypertension,0.4254703
stroke,asthma,0.3972404
stroke,sepsis,0.281409
stroke,stroke,0.99999994
stroke,anemia,0.3277037
anemia,schizophrenia,0.3073589
anemia,cancer,0.39315355
anemia,myocardial,0.15120724
anemia,heart,0.3243619
anemia,pneumonia,0.41055664
anemia,alzheimer,0.18569393
anemia,diabetes,0.50578135
anemia,hypertension,0.5416314
anemia,asthma,0.46821532
anemia,sepsis,0.41294008
anemia,stroke,0.3277037
anemia,anemia,1.0000001
diazepam,diazepam,0.99999994
diazepam,aspirin,0.5501597
diazepam,warfarin,0.4785282
diazepam,insulin,0.463002
diazepam,metformin,0.6312238
diazepam,clopidogrel,0.5807262
diazepam,atorvastatin,0.62266934
diazepam,prednisone,0.6548755
diazepam,heparin,0.36117595
diazepam,ciprofloxacin,0.36227244
aspirin,diazepam,0.5501597
aspirin,aspirin,1.0
aspirin,warfarin,0.6073998
aspirin,insulin,0.41007242
aspirin,metformin,0.7577483
aspirin,clopidogrel,0.7414588
aspirin,atorvastatin,0.7907388
