Word1,Word2,SPPMI-SVD Cosine Similarity
myocardial,myocardial,0.0
myocardial,pneumonia,0.0
myocardial,schizophrenia,0.0
myocardial,heart,0.0
myocardial,alzheimer,0.0
myocardial,disease,0.0
myocardial,tuberculosis,0.0
myocardial,stroke,0.0
myocardial,asthma,0.0
myocardial,leukemia,0.0
pneumonia,myocardial,0.0
pneumonia,pneumonia,0.0
pneumonia,schizophrenia,0.0
pneumonia,heart,0.0
pneumonia,alzheimer,0.0
pneumonia,disease,0.0
pneumonia,tuberculosis,0.0
pneumonia,stroke,0.0
pneumonia,asthma,0.0
pneumonia,leukemia,0.0
schizophrenia,myocardial,0.0
schizophrenia,pneumonia,0.0
schizophrenia,schizophrenia,0.0
schizophrenia,heart,0.0
schizophrenia,alzheimer,0.0
schizophrenia,disease,0.0
schizophrenia,tuberculosis,0.0
schizophrenia,stroke,0.0
schizophrenia,asthma,0.0
schizophrenia,leukemia,0.0
heart,myocardial,0.0
heart,pneumonia,0.0
heart,schizophrenia,0.0
heart,heart,0.0
heart,alzheimer,0.0
heart,disease,0.0
heart,tuberculosis,0.0
heart,stroke,0.0
heart,asthma,0.0
heart,leukemia,0.0
alzheimer,myocardial,0.0
alzheimer,pneumonia,0.0
alzheimer,schizophrenia,0.0
alzheimer,heart,0.0
alzheimer,alzheimer,0.0
alzheimer,disease,0.0
alzheimer,tuberculosis,0.0
alzheimer,stroke,0.0
alzheimer,asthma,0.0
alzheimer,leukemia,0.0
disease,myocardial,0.0
disease,pneumonia,0.0
disease,schizophrenia,0.0
disease,heart,0.0
disease,alzheimer,0.0
disease,disease,0.0
disease,tuberculosis,0.0
disease,stroke,0.0
disease,asthma,0.0
disease,leukemia,0.0
tuberculosis,myocardial,0.0
tuberculosis,pneumonia,0.0
tuberculosis,schizophrenia,0.0
tuberculosis,heart,0.0
tuberculosis,alzheimer,0.0
tuberculosis,disease,0.0
tuberculosis,tuberculosis,0.0
tuberculosis,stroke,0.0
tuberculosis,asthma,0.0
tuberculosis,leukemia,0.0
stroke,myocardial,0.0
stroke,pneumonia,0.0
stroke,schizophrenia,0.0
stroke,heart,0.0
stroke,alzheimer,0.0
stroke,disease,0.0
stroke,tuberculosis,0.0
stroke,stroke,0.0
stroke,asthma,0.0
stroke,leukemia,0.0
asthma,myocardial,0.0
asthma,pneumonia,0.0
asthma,schizophrenia,0.0
asthma,heart,0.0
asthma,alzheimer,0.0
asthma,disease,0.0
asthma,tuberculosis,0.0
asthma,stroke,0.0
asthma,asthma,0.0
asthma,leukemia,0.0
leukemia,myocardial,0.0
leukemia,pneumonia,0.0
leukemia,schizophrenia,0.0
leukemia,heart,0.0
leukemia,alzheimer,0.0
leukemia,disease,0.0
leukemia,tuberculosis,0.0
leukemia,stroke,0.0
leukemia,asthma,0.0
leukemia,leukemia,0.0
lisinopril,lisinopril,0.99999994
lisinopril,acetaminophen,0.7082949
lisinopril,aspirin,0.6365606
lisinopril,warfarin,0.0
lisinopril,clopidogrel,0.0
lisinopril,metformin,0.0
lisinopril,furosemide,0.99803805
lisinopril,morphine,0.0
lisinopril,simvastatin,0.99803764
lisinopril,ciprofloxacin,0.0
lisinopril,insulin,0.0
acetaminophen,lisinopril,0.7082949
acetaminophen,acetaminophen,1.0
acetaminophen,aspirin,0.7109872
acetaminophen,warfarin,0.0
acetaminophen,clopidogrel,0.0
acetaminophen,metformin,0.0
acetaminophen,furosemide,0.71821636
acetaminophen,morphine,0.0
acetaminophen,simvastatin,0.7182228
acetaminophen,ciprofloxacin,0.0
acetaminophen,insulin,0.0
aspirin,lisinopril,0.6365606
aspirin,acetaminophen,0.7109872
aspirin,aspirin,0.9999999
aspirin,warfarin,0.0
aspirin,clopidogrel,0.0
aspirin,metformin,0.0
aspirin,furosemide,0.60020936
aspirin,morphine,0.0
aspirin,simvastatin,0.6002093
aspirin,ciprofloxacin,0.0
aspirin,insulin,0.0
warfarin,lisinopril,0.0
warfarin,acetaminophen,0.0
warfarin,aspirin,0.0
warfarin,warfarin,0.0
warfarin,clopidogrel,0.0
warfarin,metformin,0.0
warfarin,furosemide,0.0
warfarin,morphine,0.0
warfarin,simvastatin,0.0
warfarin,ciprofloxacin,0.0
warfarin,insulin,0.0
clopidogrel,lisinopril,0.0
clopidogrel,acetaminophen,0.0
clopidogrel,aspirin,0.0
clopidogrel,warfarin,0.0
clopidogrel,clopidogrel,0.0
clopidogrel,metformin,0.0
clopidogrel,furosemide,0.0
clopidogrel,morphine,0.0
clopidogrel,simvastatin,0.0
clopidogrel,ciprofloxacin,0.0
clopidogrel,insulin,0.0
metformin,lisinopril,0.0
metformin,acetaminophen,0.0
metformin,aspirin,0.0
metformin,warfarin,0.0
metformin,clopidogrel,0.0
metformin,metformin,0.0
metformin,furosemide,0.0
metformin,morphine,0.0
metformin,simvastatin,0.0
metformin,ciprofloxacin,0.0
metformin,insulin,0.0
furosemide,lisinopril,0.99803805
furosemide,acetaminophen,0.71821636
furosemide,aspirin,0.60020936
furosemide,warfarin,0.0
furosemide,clopidogrel,0.0
furosemide,metformin,0.0
furosemide,furosemide,1.0
furosemide,morphine,0.0
furosemide,simvastatin,1.0
furosemide,ciprofloxacin,0.0
furosemide,insulin,0.0
morphine,lisinopril,0.0
morphine,acetaminophen,0.0
morphine,aspirin,0.0
morphine,warfarin,0.0
morphine,clopidogrel,0.0
morphine,metformin,0.0
morphine,furosemide,0.0
morphine,morphine,0.0
morphine,simvastatin,0.0
morphine,ciprofloxacin,0.0
morphine,insulin,0.0
simvastatin,lisinopril,0.99803764
simvastatin,acetaminophen,0.7182228
simvastatin,aspirin,0.6002093
simvastatin,warfarin,0.0
simvastatin,clopidogrel,0.0
simvastatin,metformin,0.0
simvastatin,furosemide,1.0
simvastatin,morphine,0.0
simvastatin,simvastatin,1.0
simvastatin,ciprofloxacin,0.0
simvastatin,insulin,0.0
ciprofloxacin,lisinopril,0.0
ciprofloxacin,acetaminophen,0.0
ciprofloxacin,aspirin,0.0
ciprofloxacin,warfarin,0.0
ciprofloxacin,clopidogrel,0.0
ciprofloxacin,metformin,0.0
ciprofloxacin,furosemide,0.0
ciprofloxacin,morphine,0.0
ciprofloxacin,simvastatin,0.0
ciprofloxacin,ciprofloxacin,0.0
ciprofloxacin,insulin,0.0
insulin,lisinopril,0.0
insulin,acetaminophen,0.0
insulin,aspirin,0.0
insulin,warfarin,0.0
insulin,clopidogrel,0.0
insulin,metformin,0.0
insulin,furosemide,0.0
insulin,morphine,0.0
insulin,simvastatin,0.0
insulin,ciprofloxacin,0.0
insulin,insulin,0.0
ventilation,ventilation,0.0
ventilation,pacemaker,0.0
ventilation,lumbar,0.0
ventilation,intubation,0.0
ventilation,surgery,0.0
ventilation,ultrasound,0.0
ventilation,scan,0.0
ventilation,puncture,0.0
ventilation,appendectomy,0.0
ventilation,bypass,0.0
ventilation,tracheostomy,0.0
ventilation,hysterectomy,0.0
ventilation,dialysis,0.0
pacemaker,ventilation,0.0
pacemaker,pacemaker,0.0
pacemaker,lumbar,0.0
pacemaker,intubation,0.0
pacemaker,surgery,0.0
pacemaker,ultrasound,0.0
pacemaker,scan,0.0
pacemaker,puncture,0.0
pacemaker,appendectomy,0.0
pacemaker,bypass,0.0
pacemaker,tracheostomy,0.0
pacemaker,hysterectomy,0.0
pacemaker,dialysis,0.0
lumbar,ventilation,0.0
lumbar,pacemaker,0.0
lumbar,lumbar,0.0
lumbar,intubation,0.0
lumbar,surgery,0.0
lumbar,ultrasound,0.0
lumbar,scan,0.0
lumbar,puncture,0.0
lumbar,appendectomy,0.0
lumbar,bypass,0.0
lumbar,tracheostomy,0.0
lumbar,hysterectomy,0.0
lumbar,dialysis,0.0
intubation,ventilation,0.0
intubation,pacemaker,0.0
intubation,lumbar,0.0
intubation,intubation,0.0
intubation,surgery,0.0
intubation,ultrasound,0.0
intubation,scan,0.0
intubation,puncture,0.0
intubation,appendectomy,0.0
intubation,bypass,0.0
intubation,tracheostomy,0.0
intubation,hysterectomy,0.0
intubation,dialysis,0.0
surgery,ventilation,0.0
surgery,pacemaker,0.0
surgery,lumbar,0.0
surgery,intubation,0.0
surgery,surgery,0.99999994
surgery,ultrasound,0.0
surgery,scan,0.0
surgery,puncture,0.0
surgery,appendectomy,0.0
surgery,bypass,0.0
surgery,tracheostomy,0.0
surgery,hysterectomy,0.0
surgery,dialysis,0.0
ultrasound,ventilation,0.0
ultrasound,pacemaker,0.0
ultrasound,lumbar,0.0
ultrasound,intubation,0.0
ultrasound,surgery,0.0
ultrasound,ultrasound,0.0
ultrasound,scan,0.0
ultrasound,puncture,0.0
ultrasound,appendectomy,0.0
ultrasound,bypass,0.0
ultrasound,tracheostomy,0.0
ultrasound,hysterectomy,0.0
ultrasound,dialysis,0.0
scan,ventilation,0.0
scan,pacemaker,0.0
scan,lumbar,0.0
scan,intubation,0.0
scan,surgery,0.0
scan,ultrasound,0.0
scan,scan,0.0
scan,puncture,0.0
scan,appendectomy,0.0
scan,bypass,0.0
scan,tracheostomy,0.0
scan,hysterectomy,0.0
scan,dialysis,0.0
puncture,ventilation,0.0
puncture,pacemaker,0.0
puncture,lumbar,0.0
puncture,intubation,0.0
puncture,surgery,0.0
puncture,ultrasound,0.0
puncture,scan,0.0
puncture,puncture,0.0
puncture,appendectomy,0.0
puncture,bypass,0.0
puncture,tracheostomy,0.0
puncture,hysterectomy,0.0
puncture,dialysis,0.0
appendectomy,ventilation,0.0
appendectomy,pacemaker,0.0
appendectomy,lumbar,0.0
appendectomy,intubation,0.0
appendectomy,surgery,0.0
appendectomy,ultrasound,0.0
appendectomy,scan,0.0
appendectomy,puncture,0.0
